checkmk,timestamp,cpu_usage(in %),memory_usage,disk_usage(in KB)
monitoring,2025-05-09T16:01:25,778.45%,2010.11,2322856
monitoring,2025-05-09T16:01:42,66.76%,1075.2,2322856
monitoring,2025-05-09T16:01:58,3.81%,1075.2,2322856
monitoring,2025-05-09T16:02:15,0.57%,1075.2,2322856
monitoring,2025-05-09T16:02:31,333.86%,1300.48,2322856
monitoring,2025-05-09T16:02:48,53.54%,1076.22,2322856
monitoring,2025-05-09T16:03:05,795.71%,2938.88,2322856
monitoring,2025-05-09T16:03:21,0.45%,1075.2,2322856
monitoring,2025-05-09T16:03:38,84.14%,1076.22,2322856
monitoring,2025-05-09T16:03:54,0.50%,1076.22,2322856
monitoring,2025-05-09T16:04:11,222.83%,1182.72,2322856
monitoring,2025-05-09T16:04:27,723.54%,2920.45,2322856
monitoring,2025-05-09T16:04:44,0.50%,1076.22,2322856
monitoring,2025-05-09T16:05:00,53.09%,1087.49,2322856
monitoring,2025-05-09T16:05:17,5.57%,1076.22,2322856
monitoring,2025-05-09T16:05:34,334.05%,1077.25,2322856
monitoring,2025-05-09T16:05:50,71.21%,1077.25,2322856
monitoring,2025-05-09T16:06:07,485.79%,3229.7,2322856
monitoring,2025-05-09T16:06:23,0.45%,1077.25,2322856
monitoring,2025-05-09T16:06:40,380.64%,1155.07,2322856
monitoring,2025-05-09T16:06:56,0.44%,1077.25,2322856
monitoring,2025-05-09T16:07:13,0.47%,1077.25,2322856
monitoring,2025-05-09T16:07:29,742.44%,1609.73,2322856
monitoring,2025-05-09T16:07:46,0.45%,1077.25,2322856
monitoring,2025-05-09T16:08:03,796.36%,2475.01,2322856
monitoring,2025-05-09T16:08:19,194.76%,1078.27,2322856
monitoring,2025-05-09T16:08:36,0.64%,1077.25,2322856
monitoring,2025-05-09T16:08:52,78.88%,1084.42,2322856
monitoring,2025-05-09T16:09:09,239.92%,1201.15,2322856
monitoring,2025-05-09T16:09:25,712.27%,2054.14,2322856
monitoring,2025-05-09T16:09:42,61.54%,1078.27,2322856
monitoring,2025-05-09T16:09:58,0.46%,1078.27,2322856
monitoring,2025-05-09T16:10:15,2.00%,1078.27,2322856
monitoring,2025-05-09T16:10:32,338.27%,1094.66,2322856
monitoring,2025-05-09T16:10:48,0.49%,1078.27,2322856
monitoring,2025-05-09T16:11:05,797.03%,3000.32,2322856
monitoring,2025-05-09T16:11:21,0.43%,1078.27,2322856
monitoring,2025-05-09T16:11:38,120.77%,1141.76,2322856
monitoring,2025-05-09T16:11:54,64.45%,1133.57,2322856
monitoring,2025-05-09T16:12:11,263.35%,1215.49,2322856
monitoring,2025-05-09T16:12:27,716.98%,2830.34,2322856
monitoring,2025-05-09T16:12:44,2.38%,1079.3,2322856
monitoring,2025-05-09T16:13:01,142.38%,1183.74,2322856
monitoring,2025-05-09T16:13:17,15.02%,1079.3,2322856
monitoring,2025-05-09T16:13:34,342.68%,1085.44,2322864
monitoring,2025-05-09T16:13:50,0.45%,1079.3,2322856
monitoring,2025-05-09T16:14:07,541.68%,3453.95,2322856
monitoring,2025-05-09T16:14:23,0.45%,1079.3,2322856
monitoring,2025-05-09T16:14:40,350.66%,1163.26,2322856
monitoring,2025-05-09T16:14:56,28.73%,1104.9,2322856
monitoring,2025-05-09T16:15:13,3.22%,1079.3,2322856
monitoring,2025-05-09T16:15:29,683.53%,1330.18,2322856
monitoring,2025-05-09T16:15:46,3.24%,1079.3,2322856
monitoring,2025-05-09T16:16:03,796.66%,2359.3,2322856
monitoring,2025-05-09T16:16:19,159.17%,1079.3,2322856
monitoring,2025-05-09T16:16:36,3.06%,1079.3,2322856
monitoring,2025-05-09T16:16:52,0.40%,1078.27,2322856
monitoring,2025-05-09T16:17:09,267.54%,1185.79,2322856
