prometheus,timestamp,cpu_usage(in %),memory_usage,disk_usage(in KB)
prometheus,2025-05-08T08:09:00,0.71%,180,46340
prometheus,2025-05-08T08:09:17,0.46%,180.1,46532
prometheus,2025-05-08T08:09:33,1.04%,180.1,46708
prometheus,2025-05-08T08:09:50,1.04%,180.1,46864
prometheus,2025-05-08T08:10:06,0.33%,180.1,47028
prometheus,2025-05-08T08:10:23,0.59%,180.1,47216
prometheus,2025-05-08T08:10:39,0.79%,180.1,47412
prometheus,2025-05-08T08:10:56,0.49%,180.1,47532
prometheus,2025-05-08T08:11:13,0.48%,180.1,47732
prometheus,2025-05-08T08:11:29,0.38%,180.1,47896
prometheus,2025-05-08T08:11:46,0.00%,180.1,48084
prometheus,2025-05-08T08:12:02,0.85%,180.1,48216
prometheus,2025-05-08T08:12:19,0.61%,180.1,48408
prometheus,2025-05-08T08:12:35,0.58%,180.1,48588
prometheus,2025-05-08T08:12:52,0.20%,180.1,48752
prometheus,2025-05-08T08:13:08,1.14%,180.2,48904
prometheus,2025-05-08T08:13:25,0.52%,180.2,49096
prometheus,2025-05-08T08:13:41,0.89%,180.2,49284
prometheus,2025-05-08T08:13:58,1.07%,180.2,49404
prometheus,2025-05-08T08:14:14,0.68%,180.2,49604
prometheus,2025-05-08T08:14:31,0.81%,180.2,49768
prometheus,2025-05-08T08:14:48,0.51%,180.5,49940
prometheus,2025-05-08T08:15:04,0.84%,180.2,50084
prometheus,2025-05-08T08:15:21,1.17%,180.5,50284
prometheus,2025-05-08T08:15:37,0.90%,180.3,50476
prometheus,2025-05-08T08:15:54,0.00%,180.3,50612
prometheus,2025-05-08T08:16:10,1.12%,180.3,50792
prometheus,2025-05-08T08:16:27,0.59%,180.3,50976
prometheus,2025-05-08T08:16:43,0.76%,180.3,51156
prometheus,2025-05-08T08:17:00,0.34%,180.3,51292
prometheus,2025-05-08T08:17:16,0.21%,180.3,51484
prometheus,2025-05-08T08:17:33,0.71%,180.4,51664
prometheus,2025-05-08T08:17:49,1.06%,180.4,51816
prometheus,2025-05-08T08:18:06,0.64%,180.4,51972
prometheus,2025-05-08T08:18:23,0.44%,180.4,52168
prometheus,2025-05-08T08:18:39,1.39%,180.6,52360
prometheus,2025-05-08T08:18:56,0.46%,180.4,52476
prometheus,2025-05-08T08:19:12,0.14%,180.4,52680
prometheus,2025-05-08T08:19:29,0.25%,180.4,52848
prometheus,2025-05-08T08:19:45,0.30%,180.4,53032
prometheus,2025-05-08T08:20:02,0.91%,180.4,53160
prometheus,2025-05-08T08:20:18,0.68%,180.4,53356
prometheus,2025-05-08T08:20:35,1.14%,180.5,53540
prometheus,2025-05-08T08:20:51,0.00%,180.4,53708
prometheus,2025-05-08T08:21:08,1.02%,180.4,53848
prometheus,2025-05-08T08:21:24,0.76%,180.5,54048
prometheus,2025-05-08T08:21:41,0.28%,180.5,54236
prometheus,2025-05-08T08:21:58,0.91%,180.5,54352
prometheus,2025-05-08T08:22:14,0.78%,180.5,54564
prometheus,2025-05-08T08:22:31,1.12%,180.5,54716
prometheus,2025-05-08T08:22:47,0.33%,180.5,54896
prometheus,2025-05-08T08:23:04,0.22%,180.5,55040
prometheus,2025-05-08T08:23:20,1.00%,180.5,55240
prometheus,2025-05-08T08:23:37,1.62%,180.8,55420
prometheus,2025-05-08T08:23:53,0.00%,180.5,55572
prometheus,2025-05-08T08:24:10,1.11%,180.5,55740
prometheus,2025-05-08T08:24:26,0.93%,180.6,55924
prometheus,2025-05-08T08:24:43,0.84%,180.6,56112
prometheus,2025-05-08T08:24:59,0.57%,180.6,56244
prometheus,2025-05-08T08:25:16,0.00%,181.1,56444
prometheus,2025-05-08T08:25:32,0.72%,181.1,56608
prometheus,2025-05-08T08:25:49,0.33%,181.5,56772
prometheus,2025-05-08T08:26:06,1.49%,181.4,56920
prometheus,2025-05-08T08:26:22,0.45%,181.4,57120
prometheus,2025-05-08T08:26:39,0.28%,181.4,57316
prometheus,2025-05-08T08:26:55,0.62%,181.4,57432
prometheus,2025-05-08T08:27:12,0.41%,181.4,57640
prometheus,2025-05-08T08:27:28,0.45%,181.5,57804
prometheus,2025-05-08T08:27:45,0.97%,181.5,57984
prometheus,2025-05-08T08:28:01,0.67%,181.7,58124
prometheus,2025-05-08T08:28:18,1.15%,181.5,58312
prometheus,2025-05-08T08:28:34,1.09%,181.5,58496
prometheus,2025-05-08T08:28:51,0.85%,181.5,58652
prometheus,2025-05-08T08:29:07,0.97%,181.7,58804
prometheus,2025-05-08T08:29:24,1.06%,181.8,59004
prometheus,2025-05-08T08:29:40,0.23%,181.5,59196
prometheus,2025-05-08T08:29:57,0.39%,181.5,59312
prometheus,2025-05-08T08:30:14,0.95%,181.5,59516
prometheus,2025-05-08T08:30:30,0.97%,181.5,59676
prometheus,2025-05-08T08:30:47,0.00%,181.5,59860
prometheus,2025-05-08T08:31:03,0.00%,181.5,60004
prometheus,2025-05-08T08:31:20,1.42%,181.8,60196
prometheus,2025-05-08T08:31:36,1.23%,181.6,60380
prometheus,2025-05-08T08:31:53,0.00%,181.6,60536
prometheus,2025-05-08T08:32:09,1.78%,181.7,60696
prometheus,2025-05-08T08:32:26,0.77%,181.7,60888
prometheus,2025-05-08T08:32:42,0.00%,181.7,61072
prometheus,2025-05-08T08:32:59,0.70%,181.7,61200
prometheus,2025-05-08T08:33:15,20.90%,181.7,61404
prometheus,2025-05-08T08:33:32,1.19%,181.7,61568
prometheus,2025-05-08T08:33:49,0.54%,181.7,61732
prometheus,2025-05-08T08:34:05,1.54%,181.7,61876
prometheus,2025-05-08T08:34:22,0.60%,181.7,62084
prometheus,2025-05-08T08:34:38,0.44%,181.7,62276
prometheus,2025-05-08T08:34:55,0.29%,181.7,62396
prometheus,2025-05-08T08:35:11,1.07%,181.7,62596
prometheus,2025-05-08T08:35:28,0.21%,181.7,62768
prometheus,2025-05-08T08:35:44,0.69%,181.7,62948
prometheus,2025-05-08T08:36:01,0.86%,181.8,63076
prometheus,2025-05-08T08:36:17,0.53%,181.8,63272
prometheus,2025-05-08T08:36:34,0.84%,182,63456
prometheus,2025-05-08T08:36:50,1.07%,181.8,63612
prometheus,2025-05-08T08:37:07,0.28%,181.8,63768
prometheus,2025-05-08T08:37:24,1.06%,181.8,63956
prometheus,2025-05-08T08:37:40,0.00%,181.8,64160
prometheus,2025-05-08T08:37:57,0.44%,181.8,64268
prometheus,2025-05-08T08:38:13,0.77%,181.8,64472
prometheus,2025-05-08T08:38:30,0.54%,181.8,64636
prometheus,2025-05-08T08:38:46,0.00%,181.8,64824
prometheus,2025-05-08T08:39:03,0.32%,181.8,64964
prometheus,2025-05-08T08:39:19,0.86%,181.8,65156
prometheus,2025-05-08T08:39:36,0.66%,182.1,65344
prometheus,2025-05-08T08:39:52,0.33%,181.8,65492
prometheus,2025-05-08T08:40:09,0.77%,182.1,65656
prometheus,2025-05-08T08:40:25,0.45%,181.8,65848
prometheus,2025-05-08T08:40:42,0.69%,182.1,66028
prometheus,2025-05-08T08:40:59,0.91%,181.9,66156
prometheus,2025-05-08T08:41:15,0.50%,182.1,66360
prometheus,2025-05-08T08:41:32,0.79%,181.9,66520
prometheus,2025-05-08T08:41:48,0.62%,181.9,66688
prometheus,2025-05-08T08:42:05,0.84%,181.9,66832
prometheus,2025-05-08T08:42:21,1.14%,181.9,67032
prometheus,2025-05-08T08:42:38,0.39%,181.9,67236
prometheus,2025-05-08T08:42:54,0.07%,181.9,67356
prometheus,2025-05-08T08:43:11,0.81%,181.9,67548
prometheus,2025-05-08T08:43:27,0.00%,181.9,67728
prometheus,2025-05-08T08:43:44,0.18%,181.9,67912
prometheus,2025-05-08T08:44:00,0.38%,181.9,68040
prometheus,2025-05-08T08:44:17,0.58%,181.9,68228
prometheus,2025-05-08T08:44:33,1.00%,182,68408
prometheus,2025-05-08T08:44:50,0.90%,181.9,68560
prometheus,2025-05-08T08:45:07,0.19%,181.9,68724
prometheus,2025-05-08T08:45:23,0.81%,182,68912
prometheus,2025-05-08T08:45:40,0.72%,182,69108
prometheus,2025-05-08T08:45:56,0.72%,182,69228
prometheus,2025-05-08T08:46:13,1.16%,182,69428
prometheus,2025-05-08T08:46:29,0.46%,182,69592
prometheus,2025-05-08T08:46:46,0.00%,182,69780
prometheus,2025-05-08T08:47:02,0.41%,182,69916
prometheus,2025-05-08T08:47:19,0.20%,182,70112
prometheus,2025-05-08T08:47:35,0.41%,182,70296
prometheus,2025-05-08T08:47:52,0.39%,182,70448
prometheus,2025-05-08T08:48:08,0.86%,182,70600
prometheus,2025-05-08T08:48:25,0.42%,182,70800
prometheus,2025-05-08T08:48:41,0.60%,182.1,70980
prometheus,2025-05-08T08:48:58,0.90%,182.4,71100
prometheus,2025-05-08T08:49:15,1.00%,182.1,71308
prometheus,2025-05-08T08:49:31,0.86%,182.1,71468
prometheus,2025-05-08T08:49:48,0.45%,182.1,71636
prometheus,2025-05-08T08:50:04,1.08%,182.1,71780
prometheus,2025-05-08T08:50:21,1.46%,182.1,71980
prometheus,2025-05-08T08:50:37,0.91%,182.1,72176
prometheus,2025-05-08T08:50:54,0.00%,182.1,72312
prometheus,2025-05-08T08:51:10,1.02%,182.1,72488
prometheus,2025-05-08T08:51:27,0.43%,182.2,72676
prometheus,2025-05-08T08:51:43,0.63%,182.2,72852
prometheus,2025-05-08T08:52:00,0.40%,182.2,72988
prometheus,2025-05-08T08:52:16,0.23%,182.2,73180
prometheus,2025-05-08T08:52:33,0.61%,182.2,73360
prometheus,2025-05-08T08:52:49,0.68%,182.3,73512
prometheus,2025-05-08T08:53:06,0.75%,182.5,73668
prometheus,2025-05-08T08:53:23,0.24%,182.3,73864
prometheus,2025-05-08T08:53:39,1.10%,182.5,74056
prometheus,2025-05-08T08:53:56,0.69%,182.3,74168
prometheus,2025-05-08T08:54:12,0.00%,182.3,74376
prometheus,2025-05-08T08:54:29,0.23%,182.3,74540
prometheus,2025-05-08T08:54:45,0.30%,182.3,74728
prometheus,2025-05-08T08:55:02,0.96%,182.3,74856
prometheus,2025-05-08T08:55:18,0.53%,182.3,75048
prometheus,2025-05-08T08:55:35,1.00%,182.3,75236
prometheus,2025-05-08T08:55:51,0.00%,182.3,75396
prometheus,2025-05-08T08:56:08,1.28%,182.4,75544
prometheus,2025-05-08T08:56:24,0.65%,182.3,75744
prometheus,2025-05-08T08:56:41,0.31%,182.4,75932
prometheus,2025-05-08T08:56:57,0.80%,182.6,76048
prometheus,2025-05-08T08:57:14,0.65%,182.4,76256
prometheus,2025-05-08T08:57:31,0.68%,182.4,76412
prometheus,2025-05-08T08:57:47,0.26%,182.6,76592
prometheus,2025-05-08T08:58:04,0.20%,182.4,76736
prometheus,2025-05-08T08:58:20,1.07%,182.4,76936
prometheus,2025-05-08T08:58:37,1.52%,182.7,77116
prometheus,2025-05-08T08:58:53,0.00%,182.4,77268
prometheus,2025-05-08T08:59:10,1.21%,182.4,77436
prometheus,2025-05-08T08:59:26,0.82%,182.4,77624
prometheus,2025-05-08T08:59:43,0.39%,182.7,77808
prometheus,2025-05-08T08:59:59,0.49%,182.4,77940
prometheus,2025-05-08T09:00:16,0.00%,182.4,78140
prometheus,2025-05-08T09:00:32,0.61%,182.4,78304
prometheus,2025-05-08T09:00:49,0.41%,182.7,78464
prometheus,2025-05-08T09:01:05,1.41%,182.4,78616
prometheus,2025-05-08T09:01:22,0.71%,182.4,78820
prometheus,2025-05-08T09:01:39,0.59%,182.7,79012
prometheus,2025-05-08T09:01:55,1.01%,182.5,79128
prometheus,2025-05-08T09:02:12,0.38%,182.5,79336
prometheus,2025-05-08T09:02:28,0.43%,182.8,79500
prometheus,2025-05-08T09:02:45,0.60%,182.8,79684
